cite1,cite2,n
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",95
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206",94
"Andrich, D, 1978, PSYCHOMETRIKA, V43, P561, DOI 10.1007/BF02293814","Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272",85
"Lord, FM, 2008, STAT THEORIES MENT","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",83
"Birnbaum, A, 2008, STAT THEORIES MENTAL, P17","Rasch, GEORG, 1993, PROBABILISITIC MODEL",81
"de la Torre, J, 2004, PSYCHOMETRIKA, V69, P333, DOI 10.1007/BF02295640","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",80
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",76
"Muraki, E, 1992, APPL PSYCH MEAS, V16, P159, DOI 10.1177/014662169201600206","Samejima, F, 1969, PSYCHOMETIKA MONOGRA, V17",75
"Holland, PW, 1988, TEST VALIDITY, P129, DOI DOI 10.1017/CBO9781107415324.004","Swaminathan, H, 1990, J EDUC MEAS, V27, P361, DOI 10.1111/J.1745-3984.1990.TB00754.X",72
"Haertel, EH, 1989, J EDUC MEAS, V26, P301, DOI 10.1111/J.1745-3984.1989.TB00336.X","Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028",71
"Junker, BW, 2001, APPL PSYCH MEAS, V25, P211, DOI 10.1177/01466210122032028","Templin, JL, 2006, PSYCHOL METHODS, V11, P287, DOI 10.1037/1082-989X.11.3.287",71
"Masters, GN, 1982, PSYCHOMETRIKA, V47, P149, DOI 10.1007/BF02296272","Rasch, GEORG, 1993, PROBABILISITIC MODEL",71
"Hambleton, RK, 2000, ITEM RESPONE THEORY","Lord, FREDERIC, 1983, APPL ITEM REPSONSE T",68
